Calcite version,ID,file,Version-ID,Bug,SM_interface_nod_stdev,SM_enum_dloc_stdev,SM_enum_cloc_stdev,SM_enum_tcloc_stdev,SM_enum_npa_stdev,SM_enum_nlpa_stdev,SM_enum_nla_stdev,SM_enum_na_stdev,SM_enum_tnlpa_stdev,SM_enum_tnpa_stdev,SM_enum_tna_stdev,SM_enum_tnla_stdev,SM_interface_cboi_stdev,SM_enum_ad_generalized_entropy,SM_enum_ad_atkinson,SM_enum_ad_theil,SM_method_cco_min,SM_method_ci_min,SM_method_cco_median,SM_method_ccl_min,SM_enum_cco_min,SM_method_ci_median,SM_method_cco_avg,SM_enum_cboi_stdev,SM_enum_ci_min,SM_interface_noc_stdev,SM_enum_pua_stdev,SM_enum_nlg_stdev,SM_enum_ng_stdev,SM_enum_cco_median
1.1.0,24.0,core/src/main/java/org/apache/calcite/sql/SqlWindow.java,1.1.0-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,25.0,core/src/main/java/org/apache/calcite/sql2rel/RelDecorrelator.java,1.1.0-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686567164179104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,26.0,core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,1.1.0-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,27.0,core/src/main/java/org/apache/calcite/util/Util.java,1.1.0-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,28.0,core/src/main/java/org/apache/calcite/adapter/clone/ArrayTable.java,1.1.0-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,30.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableFilterToCalcRule.java,1.1.0-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,33.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSort.java,1.1.0-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,36.0,core/src/main/java/org/apache/calcite/adapter/enumerable/PhysTypeImpl.java,1.1.0-36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,41.0,core/src/main/java/org/apache/calcite/rel/core/Aggregate.java,1.1.0-41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2204460492503091e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,42.0,core/src/main/java/org/apache/calcite/rel/core/Calc.java,1.1.0-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,45.0,core/src/main/java/org/apache/calcite/rel/core/RelFactories.java,1.1.0-45,0.0,0.451753951452625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46230122694433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451753951452625,0.0,0.0,0.0,0.0
1.1.0,59.0,core/src/main/java/org/apache/calcite/rel/rules/AggregateReduceFunctionsRule.java,1.1.0-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,67.0,core/src/main/java/org/apache/calcite/rel/rules/ProjectToWindowRule.java,1.1.0-67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,72.0,core/src/main/java/org/apache/calcite/sql/fun/SqlLiteralChainOperator.java,1.1.0-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,74.0,mongodb/src/main/java/org/apache/calcite/adapter/mongodb/MongoRules.java,1.1.0-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,77.0,core/src/main/java/org/apache/calcite/interpreter/AggregateNode.java,1.1.0-77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,90.0,core/src/main/java/org/apache/calcite/jdbc/CalcitePrepare.java,1.1.0-90,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79613860953409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1.1.0,94.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,1.1.0-94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,98.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpretable.java,1.1.0-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,99.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindow.java,1.1.0-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,101.0,core/src/main/java/org/apache/calcite/adapter/enumerable/RexToLixTranslator.java,1.1.0-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,106.0,linq4j/src/main/java/org/apache/calcite/linq4j/tree/ConditionalExpression.java,1.1.0-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,107.0,linq4j/src/main/java/org/apache/calcite/linq4j/tree/Types.java,1.1.0-107,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1.1.0,109.0,core/src/main/java/org/apache/calcite/sql/SqlDelete.java,1.1.0-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,111.0,core/src/main/java/org/apache/calcite/rel/core/Join.java,1.1.0-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,116.0,core/src/main/java/org/apache/calcite/rel/metadata/BuiltInMetadata.java,1.1.0-116,0.0,0.447903208238808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577350269189625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447903208238808,0.0,0.0,0.0,0.0
1.1.0,120.0,core/src/main/java/org/apache/calcite/sql2rel/StandardConvertletTable.java,1.1.0-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,127.0,core/src/main/java/org/apache/calcite/prepare/RelOptTableImpl.java,1.1.0-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,135.0,core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java,1.1.0-135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674157303370786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,138.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScan.java,1.1.0-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,139.0,core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,1.1.0-139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235849056603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,160.0,core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,1.1.0-160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195530726256983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,167.0,linq4j/src/main/java/org/apache/calcite/linq4j/function/Functions.java,1.1.0-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,171.0,core/src/main/java/org/apache/calcite/rel/metadata/RelMdSize.java,1.1.0-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,175.0,core/src/main/java/org/apache/calcite/sql/SqlUtil.java,1.1.0-175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,193.0,core/src/main/java/org/apache/calcite/runtime/Enumerables.java,1.1.0-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,194.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java,1.1.0-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,195.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableThetaJoin.java,1.1.0-195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,196.0,linq4j/src/main/java/org/apache/calcite/linq4j/tree/FunctionExpression.java,1.1.0-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,200.0,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregateRule.java,1.1.0-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,203.0,core/src/main/java/org/apache/calcite/util/mapping/Mappings.java,1.1.0-203,0.0,1.22474487139158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0228991875736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862068965517241,0.0,0.0,1.4790199457749,0.0,0.0,0.0,0.0
1.1.0,204.0,mongodb/src/main/java/org/apache/calcite/adapter/mongodb/MongoAggregate.java,1.1.0-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,212.0,core/src/main/java/org/apache/calcite/rel/metadata/RelMdSelectivity.java,1.1.0-212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,214.0,core/src/main/java/org/apache/calcite/rel/rules/JoinPushThroughJoinRule.java,1.1.0-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,215.0,core/src/main/java/org/apache/calcite/rel/rules/JoinToMultiJoinRule.java,1.1.0-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,217.0,core/src/main/java/org/apache/calcite/rel/rules/LoptOptimizeJoinRule.java,1.1.0-217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,220.0,plus/src/main/java/org/apache/calcite/adapter/tpcds/TpcdsSchema.java,1.1.0-220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,222.0,avatica/src/main/java/org/apache/calcite/avatica/ColumnMetaData.java,1.1.0-222,0.0,0.0,1.0,1.5,1.5,3.0,3.0,4.5,4.5,3.0,3.0,4.5,4.5,0.0,0.0,-2.2204460492503091e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,223.0,avatica/src/main/java/org/apache/calcite/avatica/MetaImpl.java,1.1.0-223,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
1.1.0,277.0,core/src/main/java/org/apache/calcite/rex/RexWindow.java,1.1.0-277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,278.0,core/src/main/java/org/apache/calcite/rex/RexWindowBound.java,1.1.0-278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,279.0,core/src/main/java/org/apache/calcite/runtime/BinarySearch.java,1.1.0-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,284.0,core/src/main/java/org/apache/calcite/runtime/FlatLists.java,1.1.0-284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,285.0,core/src/main/java/org/apache/calcite/runtime/ResultSetEnumerable.java,1.1.0-285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,311.0,core/src/main/java/org/apache/calcite/sql/SqlAsOperator.java,1.1.0-311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,313.0,core/src/main/java/org/apache/calcite/sql/SqlBinaryOperator.java,1.1.0-313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,317.0,core/src/main/java/org/apache/calcite/sql/SqlDialect.java,1.1.0-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,319.0,core/src/main/java/org/apache/calcite/sql/SqlExplain.java,1.1.0-319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,326.0,core/src/main/java/org/apache/calcite/sql/SqlJoin.java,1.1.0-326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,334.0,core/src/main/java/org/apache/calcite/sql/SqlPostfixOperator.java,1.1.0-334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,338.0,core/src/main/java/org/apache/calcite/sql/SqlSelect.java,1.1.0-338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,346.0,core/src/main/java/org/apache/calcite/sql/SqlUpdate.java,1.1.0-346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.0,349.0,core/src/main/java/org/apache/calcite/sql/SqlWriter.java,1.1.0-349,0.0,1.24721912892464,50.5,50.5,50.5,8.5,8.5,9.0,9.0,8.5,8.5,9.0,9.0,26.5455583227527,0.057605761386045,0.0285954792089683,0.0566330122651324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.471404520791031,1.0,0.5,0.5,0.0
