Ant version,ID,file,Bug,CHANGE_TYPE_computation,CHANGE_TYPE_data,CHANGE_TYPE_other,HASSAN_edhcm,HASSAN_hcm,HASSAN_ldhcm,HASSAN_lgdhcm,HASSAN_whcm,ISSUE_major_bug,ISSUE_major_improvement,MOSER_authors,MOSER_bugfix,MOSER_revisions,MOSER_sum_lines_deleted,MOSER_weighted_age,PMD_arp,PMD_cis,PMD_odpl,PMD_rule_type_basic rules,PMD_rule_type_controversial rules,PMD_rule_type_design rules,PMD_rule_type_string and stringbuffer rules,PMD_rule_type_unnecessary and unused code rules,PMD_severity_critical,PMD_severity_major,PMD_severity_minor,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD
1.4.1,12.0,src/java/fr/jayasoft/ivy/event/download/StartArtifactDownloadEvent.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,5,0.0,0,0,0,0,0,1,0,0,0,0,2,0.8285714285714286,0.0,0.7777777777777778,0.3333333333333333,0.3333333333333333
1.4.1,13.0,src/java/fr/jayasoft/ivy/event/resolve/EndResolveEvent.java,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,1,0.181818182,0,0,0,0,0,1,0,0,0,0,2,0.7692307692307693,0.0,0.75,0.5,0.5
1.4.1,14.0,src/java/fr/jayasoft/ivy/event/resolve/StartResolveEvent.java,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,1,0.285714286,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,1.0,1.0,1.0
1.4.1,15.0,src/java/fr/jayasoft/ivy/DefaultDependencyArtifactDescriptor.java,0.0,4,1,2,0.739251028,1.108202791,0.816366243,53.55084593,0.004916461,0,1,1,1,2,6,425.9473684,0,0,0,0,0,1,0,0,1,0,2,0.6476683937823834,0.4375,0.7906976744186046,0.5652173913043478,0.8
1.4.1,16.0,src/java/fr/jayasoft/ivy/DefaultModuleRevision.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.7611940298507462,0.0,0.8095238095238095,0.7692307692307693,0.8333333333333334
1.4.1,17.0,src/java/fr/jayasoft/ivy/DependencyDescriptor.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1.4.1,18.0,src/java/fr/jayasoft/ivy/LatestStrategy.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1.4.1,19.0,src/java/fr/jayasoft/ivy/ResolvedModuleRevision.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,20.0,src/java/fr/jayasoft/ivy/latest/AbstractLatestStrategy.java,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.3617021276595745,0.0,0.4666666666666667,0.5,0.7142857142857143
1.4.1,21.0,src/java/fr/jayasoft/ivy/latest/ComparatorLatestStrategy.java,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,3,0.7971014492753623,0.6666666666666666,0.782608695652174,0.6666666666666666,0.8333333333333334
1.4.1,22.0,src/java/fr/jayasoft/ivy/latest/LatestLexicographicStrategy.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0.2112676056338028,0.0,0.2666666666666666,0.3,0.75
1.4.1,23.0,src/java/fr/jayasoft/ivy/latest/LatestRevisionStrategy.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,2,1,0,0,2,5,0.9518413597733713,0.8653846153846154,0.935897435897436,0.8048780487804879,0.9333333333333332
1.4.1,24.0,src/java/fr/jayasoft/ivy/latest/LatestTimeStrategy.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,1.0,1.0,1.0
1.4.1,25.0,src/java/fr/jayasoft/ivy/resolver/MDResolvedResource.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,1.0,0.0,1.0,1.0,1.0
1.4.1,26.0,src/java/fr/jayasoft/ivy/resolver/ResolvedModuleRevisionProxy.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,2,0.7407407407407407,0.5,0.8125,0.7272727272727273,0.8888888888888888
1.4.1,27.0,src/java/fr/jayasoft/ivy/resolver/ResolvedResource.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,3,1.0,0.0,1.0,1.0,1.0
1.4.1,28.0,src/java/fr/jayasoft/ivy/resolver/ResourceMDParser.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,29.0,src/java/fr/jayasoft/ivy/version/AbstractVersionMatcher.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.9117647058823528,0.0,0.9285714285714286,0.8888888888888888,0.8888888888888888
1.4.1,30.0,src/java/fr/jayasoft/ivy/version/ExactVersionMatcher.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0
1.4.1,31.0,src/java/fr/jayasoft/ivy/version/SubVersionMatcher.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0
1.4.1,32.0,src/java/fr/jayasoft/ivy/version/VersionMatcher.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,33.0,src/java/fr/jayasoft/ivy/version/VersionRangeMatcher.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,3,0.7515151515151515,0.8666666666666667,0.7627118644067796,0.71875,0.7058823529411765
1.4.1,34.0,src/java/fr/jayasoft/ivy/ant/IvyPublish.java,0.0,4,9,1,0.50460737,1.211538112,0.66269032,32.4410076,0.25157451,1,0,2,0,7,32,463.3333333,0,1,0,1,0,2,0,0,0,2,5,0.5744360902255639,0.5,0.5,0.2527472527472527,0.2923076923076923
1.4.1,35.0,src/java/fr/jayasoft/ivy/util/Configurator.java,0.0,0,0,0,0.31311615,0.31311615,0.31311615,31.46791344,0.025665258,0,0,1,1,1,1,497.0,1,1,0,1,0,4,1,0,1,3,6,0.7690982194141298,0.7678571428571429,0.8575342465753425,0.7597402597402597,0.9857142857142858
1.4.1,36.0,src/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParser.java,1.0,0,6,1,0.612033719,1.49461011,0.806584281,32.85390275,0.014423601,0,3,1,1,6,7,442.2105263,0,0,0,1,0,1,1,0,1,4,4,0.7935429056924383,0.7419354838709677,0.8428571428571429,0.6231884057971014,1.0
1.4.1,37.0,src/java/fr/jayasoft/ivy/tools/analyser/DependencyAnalyser.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1.4.1,38.0,src/java/fr/jayasoft/ivy/tools/analyser/JarJarDependencyAnalyser.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,1,2,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0
1.4.1,39.0,src/java/fr/jayasoft/ivy/tools/analyser/JarModule.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
1.4.1,40.0,src/java/fr/jayasoft/ivy/tools/analyser/JarModuleFinder.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,1,0,2,0,0,1,2,3,0.0,0.0,0.0,0.0,0.0
1.4.1,41.0,src/java/fr/jayasoft/ivy/tools/analyser/RepositoryAnalyser.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,2,3,0.0,0.0,0.0,0.0,0.0
1.4.1,42.0,src/java/fr/jayasoft/ivy/ant/AntMessageImpl.java,0.0,2,2,3,0.65207502,1.483512199,0.834915304,37.6287626,0.050994087,2,0,2,3,5,11,450.5490196,0,1,0,1,0,2,1,0,0,0,6,0.8362068965517241,0.625,0.75,0.6111111111111112,0.7142857142857143
1.4.1,43.0,src/java/fr/jayasoft/ivy/repository/BasicResource.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,2,1.946428571,0,0,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
1.4.1,44.0,src/java/fr/jayasoft/ivy/resolver/VfsResolver.java,0.0,0,2,0,0.597820864,0.597820864,0.597820864,60.08050112,0.011504749,1,0,1,1,1,1,161.0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
1.4.1,45.0,src/java/fr/jayasoft/ivy/repository/vfs/VfsResource.java,0.0,16,11,1,0.597820864,0.597820864,0.597820864,60.08050112,0.002556611,3,1,2,6,8,79,116.9361702,1,0,0,0,0,2,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0
1.4.1,46.0,src/java/fr/jayasoft/ivy/conflict/StrictConflictException.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.25,0.25,0.25
1.4.1,47.0,src/java/fr/jayasoft/ivy/conflict/StrictConflictManager.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,3,1.0,0.8333333333333334,1.0,0.8,1.0
1.4.1,48.0,src/java/fr/jayasoft/ivy/DependencyResolver.java,0.0,0,0,0,0.597820864,0.597820864,0.597820864,60.08050112,0.000852204,0,1,1,0,2,1,420.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,49.0,src/java/fr/jayasoft/ivy/ant/IvyArtifactProperty.java,0.0,0,0,1,0.597820864,0.597820864,0.597820864,60.08050112,0.000852204,0,1,1,0,2,2,422.7142857,0,0,0,0,0,0,0,0,0,1,1,0.7148760330578512,0.5625,0.6545454545454545,0.5,0.625
1.4.1,50.0,src/java/fr/jayasoft/ivy/ant/IvyArtifactReport.java,0.0,0,3,1,0.597820864,0.597820864,0.597820864,60.08050112,0.004261018,1,1,1,1,4,5,146.8333333,1,0,0,0,0,1,1,0,0,2,2,0.0,0.0,0.0,0.0,0.0
1.4.1,51.0,src/java/fr/jayasoft/ivy/ant/IvyCacheFileset.java,0.0,0,4,2,0.597820864,0.597820864,0.597820864,60.08050112,0.006817629,0,2,1,0,3,4,438.85,0,0,0,0,0,0,0,0,0,1,1,0.7058823529411765,0.625,0.7586206896551724,0.5555555555555556,0.6
1.4.1,52.0,src/java/fr/jayasoft/ivy/ant/IvyCacheTask.java,0.0,0,13,1,0.597820864,0.597820864,0.597820864,60.08050112,0.014913564,0,2,1,0,3,125,229.0416667,0,0,0,0,0,0,0,0,0,0,0,0.6711409395973155,0.6875,0.8064516129032258,0.6363636363636364,1.0
1.4.1,53.0,src/java/fr/jayasoft/ivy/resolver/AbstractResolver.java,0.0,0,1,0,0.812542196,1.18149396,0.889657412,60.91654763,0.00859136,1,1,1,1,4,2,440.4137931,0,0,0,0,0,0,0,0,0,1,3,0.6143790849673203,0.5952380952380952,0.6938775510204082,0.6065573770491803,0.725
1.4.1,54.0,src/java/fr/jayasoft/ivy/resolver/ChainResolver.java,0.0,0,5,0,0.812542196,1.18149396,0.889657412,60.91654763,0.003052036,0,1,1,0,5,6,421.40625,1,0,0,0,0,3,0,0,0,3,6,0.803921568627451,0.717948717948718,0.7753623188405797,0.6774193548387096,0.8695652173913043
1.4.1,55.0,src/java/fr/jayasoft/ivy/resolver/DualResolver.java,0.0,0,0,0,0.812542196,1.18149396,0.889657412,60.91654763,0.00245309,0,1,1,0,3,3,435.0,1,0,0,0,0,1,0,0,0,1,2,0.7537688442211056,0.6818181818181818,0.7111111111111111,0.6153846153846154,0.7333333333333333
1.4.1,56.0,src/java/fr/jayasoft/ivy/resolver/IBiblioResolver.java,0.0,0,0,0,0.597820864,0.597820864,0.597820864,60.08050112,0.001704407,0,1,1,0,2,3,423.2,0,0,0,0,1,2,0,0,1,0,5,0.0375,0.0,0.0581395348837209,0.0222222222222222,0.0416666666666666
1.4.1,57.0,src/java/fr/jayasoft/ivy/resolver/IvyRepResolver.java,0.0,0,0,0,0.597820864,0.597820864,0.597820864,60.08050112,0.001704407,0,1,1,0,1,2,457.0,0,0,0,1,1,1,0,0,2,1,5,0.2979166666666666,0.2692307692307692,0.3388429752066115,0.1818181818181818,0.3448275862068966
1.4.1,58.0,src/java/fr/jayasoft/ivy/conflict/RegexpConflictManager.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,2,0.6320754716981132,0.65,0.6976744186046512,0.5555555555555556,0.75
1.4.1,59.0,src/java/fr/jayasoft/ivy/util/ChecksumHelper.java,0.0,2,3,0,0.597820864,0.597820864,0.597820864,60.08050112,0.004261018,1,0,1,1,1,1,58.0,0,0,0,0,2,2,0,0,0,1,4,0.8846153846153846,0.75,0.875,0.6923076923076923,0.8571428571428571
1.4.1,60.0,src/java/fr/jayasoft/ivy/extendable/ExtendableItemHelper.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.8387096774193549,0.9,0.8947368421052632,0.7777777777777778,0.75
1.4.1,61.0,src/java/fr/jayasoft/ivy/namespace/NamespaceRule.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.4893617021276595,0.5,0.5294117647058824,0.4545454545454545,0.5555555555555556
1.4.1,62.0,src/java/fr/jayasoft/ivy/status/StatusManager.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,1,5,0.6236559139784946,0.4285714285714285,0.639344262295082,0.5185185185185185,0.8461538461538461
1.4.1,63.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavClientFactory.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1.4.1,64.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavConnectionManager.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0.0,2,0,0,0,2,4,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0
1.4.1,65.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavFileProvider.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,66.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavFileSystem.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,67.0,src/java/fr/jayasoft/ivy/event/IvyEvent.java,0.0,2,3,2,0.524529695,0.524529695,0.524529695,52.71479942,0.000540752,0,1,1,0,5,4,200.3185841,0,0,0,0,0,2,0,0,0,0,3,0.5821917808219178,0.0,0.6571428571428571,0.5882352941176471,0.7692307692307693
1.4.1,68.0,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,1.0,0,2,0,0.597820864,0.597820864,0.597820864,60.08050112,0.003408815,1,2,1,1,3,3,428.7368421,0,0,0,1,1,1,1,0,1,3,6,0.8518181818181818,0.813953488372093,0.823170731707317,0.6376811594202898,0.5769230769230769
1.4.1,69.0,src/java/fr/jayasoft/ivy/parser/AbstractModuleDescriptorParser.java,0.0,3,1,3,0.449707358,0.827602216,0.528691784,23.94914697,0.029746865,2,1,2,2,3,6,257.4642857,0,0,0,0,0,2,1,0,1,1,5,0.8537549407114624,0.8048780487804879,0.9006622516556292,0.8,0.9655172413793104
1.4.1,70.0,src/java/fr/jayasoft/ivy/DefaultDependencyDescriptor.java,1.0,1,0,1,0.583673096,0.583673096,0.583673096,58.65866219,0.001946575,0,1,1,1,2,1,430.0714286,1,0,0,0,0,4,0,0,0,0,6,0.8373812038014784,0.9117647058823528,0.8736263736263736,0.8354430379746836,0.8222222222222222
1.4.1,71.0,src/java/fr/jayasoft/ivy/ant/IvyCheck.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,417.0,0,1,0,1,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0
1.4.1,72.0,src/java/fr/jayasoft/ivy/ant/IvyConvertPom.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1,1,0,2,5,199.5714286,0,0,0,0,0,0,0,0,0,1,2,0.3984962406015037,0.5,0.5833333333333334,0.625,0.8333333333333334
1.4.1,73.0,src/java/fr/jayasoft/ivy/ant/IvyExtractFromSources.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,2,417.0,1,0,0,0,1,3,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0
1.4.1,74.0,src/java/fr/jayasoft/ivy/ant/IvyInfo.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,4,69.0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0
1.4.1,75.0,src/java/fr/jayasoft/ivy/ant/IvyVar.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,417.0,0,0,0,1,0,0,0,0,1,1,1,0.8098159509202454,0.7857142857142857,0.8604651162790697,0.8,0.9230769230769232
1.4.1,76.0,src/java/fr/jayasoft/ivy/ant/PackageMapping.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,417.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1.4.1,77.0,src/java/fr/jayasoft/ivy/AbstractArtifact.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,2,0.8895705521472392,0.6111111111111112,0.8518518518518519,0.4736842105263157,0.7
1.4.1,78.0,src/java/fr/jayasoft/ivy/ArtifactRevisionId.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,1,0,2,0.3979057591623036,0.0,0.5,0.4117647058823529,0.5384615384615384
1.4.1,79.0,src/java/fr/jayasoft/ivy/extendable/DefaultExtendableItem.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8076923076923077,0.0,0.8,0.8,0.8
1.4.1,80.0,src/java/fr/jayasoft/ivy/extendable/ExtendableItem.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,81.0,src/java/fr/jayasoft/ivy/extendable/UnmodifiableExtendableItem.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.7982456140350878,0.8333333333333334,0.8275862068965517,0.6923076923076923,0.7
1.4.1,82.0,src/java/fr/jayasoft/ivy/ModuleId.java,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,2,0,0,1,0,4,0.6518518518518519,0.7,0.75,0.7142857142857143,0.7777777777777778
1.4.1,83.0,src/java/fr/jayasoft/ivy/url/BasicURLHandler.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,0,1,1,1,1,0,0,2,4,0.4545454545454545,0.4333333333333333,0.5862068965517241,0.4,1.0
1.4.1,84.0,src/java/fr/jayasoft/ivy/Artifact.java,0.0,0,0,1,0.739251028,1.108202791,0.816366243,53.55084593,0.003003234,0,1,1,0,2,0,437.7142857,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,85.0,src/java/fr/jayasoft/ivy/repository/AbstractRepository.java,0.0,1,0,0,0.739251028,1.108202791,0.816366243,53.55084593,0.00789485,0,0,1,0,3,11,432.4210526,0,0,0,0,0,1,0,0,0,0,2,0.65,0.6111111111111112,0.711864406779661,0.6206896551724138,0.75
1.4.1,86.0,src/java/fr/jayasoft/ivy/repository/Repository.java,0.0,0,0,2,0.524529695,0.524529695,0.524529695,52.71479942,0.003785266,0,0,1,0,2,5,428.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,87.0,src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,0.0,8,13,4,0.612033719,1.49461011,0.806584281,32.85390275,0.058743327,0,5,2,2,15,134,431.1397849,1,0,0,0,0,3,1,0,0,6,7,0.82287954383464,0.7857142857142857,0.8598326359832636,0.6976744186046512,0.8679245283018868
1.4.1,88.0,src/java/fr/jayasoft/ivy/ant/IvyResolve.java,0.0,14,16,3,0.591514478,1.422951657,0.774354761,31.54247831,0.090270135,0,2,2,1,8,73,428.2375691,0,0,0,0,0,0,1,0,0,2,2,0.7120921305182342,0.75,0.6842105263157895,0.4423076923076923,0.4166666666666667
1.4.1,89.0,src/java/fr/jayasoft/ivy/util/Message.java,0.0,4,18,1,0.633116895,1.469364431,0.817984186,37.57745326,0.11686646,3,1,2,3,7,44,440.1238938,0,0,0,0,0,2,0,0,1,2,2,0.8212290502793296,0.8809523809523809,0.819047619047619,0.7142857142857143,0.6666666666666666
1.4.1,90.0,src/java/fr/jayasoft/ivy/event/resolve/ResolveEvent.java,0.0,0,0,1,0.524529695,0.524529695,0.524529695,52.71479942,0.002703761,0,0,1,0,3,8,198.72,0,0,0,0,0,3,0,1,0,3,3,0.85,0.0,0.8571428571428571,0.5,0.5
1.4.1,91.0,src/java/fr/jayasoft/ivy/Configuration.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,1,1,5,0.832089552238806,0.75,0.8688524590163934,0.7272727272727273,0.9411764705882352
