Ant version,ID,file,Bug,SM_interface_nod_stdev,SM_enum_dloc_stdev,SM_enum_cloc_stdev,SM_enum_tcloc_stdev,SM_enum_npa_stdev,SM_enum_nlpa_stdev,SM_enum_nla_stdev,SM_enum_na_stdev,SM_enum_tnlpa_stdev,SM_enum_tnpa_stdev,SM_enum_tna_stdev,SM_enum_tnla_stdev,SM_interface_cboi_stdev,SM_enum_ad_generalized_entropy,SM_enum_ad_atkinson,SM_enum_ad_theil,SM_method_cco_min,SM_method_ci_min,SM_method_cco_median,SM_method_ccl_min,SM_enum_cco_min,SM_method_ci_median,SM_method_cco_avg,SM_enum_cboi_stdev,SM_enum_ci_min,SM_interface_noc_stdev,SM_enum_pua_stdev,SM_enum_nlg_stdev,SM_enum_ng_stdev,SM_enum_cco_median
1.4.1,10.0,src/java/fr/jayasoft/ivy/event/download/NeedArtifactEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,11.0,src/java/fr/jayasoft/ivy/event/download/PrepareDownloadEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,12.0,src/java/fr/jayasoft/ivy/event/download/StartArtifactDownloadEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,13.0,src/java/fr/jayasoft/ivy/event/resolve/EndResolveEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,14.0,src/java/fr/jayasoft/ivy/event/resolve/StartResolveEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,15.0,src/java/fr/jayasoft/ivy/DefaultDependencyArtifactDescriptor.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.266666667,0,0,0,0,0,0,0
1.4.1,16.0,src/java/fr/jayasoft/ivy/DefaultModuleRevision.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,17.0,src/java/fr/jayasoft/ivy/DependencyDescriptor.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,18.0,src/java/fr/jayasoft/ivy/LatestStrategy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,19.0,src/java/fr/jayasoft/ivy/ResolvedModuleRevision.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,20.0,src/java/fr/jayasoft/ivy/latest/AbstractLatestStrategy.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,21.0,src/java/fr/jayasoft/ivy/latest/ComparatorLatestStrategy.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,22.0,src/java/fr/jayasoft/ivy/latest/LatestLexicographicStrategy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2.5,0,0,0.5,2.5,0,0,0,0,0,0,0
1.4.1,23.0,src/java/fr/jayasoft/ivy/latest/LatestRevisionStrategy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.416666667,0,0,0,0,0,0,0
1.4.1,24.0,src/java/fr/jayasoft/ivy/latest/LatestTimeStrategy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,25.0,src/java/fr/jayasoft/ivy/resolver/MDResolvedResource.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,26.0,src/java/fr/jayasoft/ivy/resolver/ResolvedModuleRevisionProxy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,27.0,src/java/fr/jayasoft/ivy/resolver/ResolvedResource.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,28.0,src/java/fr/jayasoft/ivy/resolver/ResourceMDParser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,29.0,src/java/fr/jayasoft/ivy/version/AbstractVersionMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,30.0,src/java/fr/jayasoft/ivy/version/ExactVersionMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,31.0,src/java/fr/jayasoft/ivy/version/SubVersionMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,32.0,src/java/fr/jayasoft/ivy/version/VersionMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,33.0,src/java/fr/jayasoft/ivy/version/VersionRangeMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,34.0,src/java/fr/jayasoft/ivy/ant/IvyPublish.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.129032258,0,0,0,0,0,0,0
1.4.1,35.0,src/java/fr/jayasoft/ivy/util/Configurator.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,36.0,src/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParser.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,37.0,src/java/fr/jayasoft/ivy/tools/analyser/DependencyAnalyser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,38.0,src/java/fr/jayasoft/ivy/tools/analyser/JarJarDependencyAnalyser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,39.0,src/java/fr/jayasoft/ivy/tools/analyser/JarModule.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,40.0,src/java/fr/jayasoft/ivy/tools/analyser/JarModuleFinder.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,41.0,src/java/fr/jayasoft/ivy/tools/analyser/RepositoryAnalyser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,42.0,src/java/fr/jayasoft/ivy/ant/AntMessageImpl.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,43.0,src/java/fr/jayasoft/ivy/repository/BasicResource.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,44.0,src/java/fr/jayasoft/ivy/resolver/VfsResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,45.0,src/java/fr/jayasoft/ivy/repository/vfs/VfsResource.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,46.0,src/java/fr/jayasoft/ivy/conflict/StrictConflictException.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,47.0,src/java/fr/jayasoft/ivy/conflict/StrictConflictManager.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,48.0,src/java/fr/jayasoft/ivy/DependencyResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,49.0,src/java/fr/jayasoft/ivy/ant/IvyArtifactProperty.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,50.0,src/java/fr/jayasoft/ivy/ant/IvyArtifactReport.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,51.0,src/java/fr/jayasoft/ivy/ant/IvyCacheFileset.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,52.0,src/java/fr/jayasoft/ivy/ant/IvyCacheTask.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,53.0,src/java/fr/jayasoft/ivy/resolver/AbstractResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.102564103,0,0,0,0,0,0,0
1.4.1,54.0,src/java/fr/jayasoft/ivy/resolver/ChainResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,55.0,src/java/fr/jayasoft/ivy/resolver/DualResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,56.0,src/java/fr/jayasoft/ivy/resolver/IBiblioResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.375,0,0,0,0,0,0,0
1.4.1,57.0,src/java/fr/jayasoft/ivy/resolver/IvyRepResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.714285714,0,0,0,0,0,0,0
1.4.1,58.0,src/java/fr/jayasoft/ivy/conflict/RegexpConflictManager.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,59.0,src/java/fr/jayasoft/ivy/util/ChecksumHelper.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,60.0,src/java/fr/jayasoft/ivy/extendable/ExtendableItemHelper.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,61.0,src/java/fr/jayasoft/ivy/namespace/NamespaceRule.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,62.0,src/java/fr/jayasoft/ivy/status/StatusManager.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,63.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavClientFactory.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,64.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavConnectionManager.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,65.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavFileProvider.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,66.0,src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavFileSystem.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,67.0,src/java/fr/jayasoft/ivy/event/IvyEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,68.0,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,69.0,src/java/fr/jayasoft/ivy/parser/AbstractModuleDescriptorParser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,70.0,src/java/fr/jayasoft/ivy/DefaultDependencyDescriptor.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,71.0,src/java/fr/jayasoft/ivy/ant/IvyCheck.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,72.0,src/java/fr/jayasoft/ivy/ant/IvyConvertPom.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,73.0,src/java/fr/jayasoft/ivy/ant/IvyExtractFromSources.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,74.0,src/java/fr/jayasoft/ivy/ant/IvyInfo.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,75.0,src/java/fr/jayasoft/ivy/ant/IvyVar.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,76.0,src/java/fr/jayasoft/ivy/ant/PackageMapping.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,77.0,src/java/fr/jayasoft/ivy/AbstractArtifact.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,78.0,src/java/fr/jayasoft/ivy/ArtifactRevisionId.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,79.0,src/java/fr/jayasoft/ivy/extendable/DefaultExtendableItem.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,80.0,src/java/fr/jayasoft/ivy/extendable/ExtendableItem.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,81.0,src/java/fr/jayasoft/ivy/extendable/UnmodifiableExtendableItem.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,82.0,src/java/fr/jayasoft/ivy/ModuleId.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,83.0,src/java/fr/jayasoft/ivy/url/BasicURLHandler.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,84.0,src/java/fr/jayasoft/ivy/Artifact.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,85.0,src/java/fr/jayasoft/ivy/repository/AbstractRepository.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,86.0,src/java/fr/jayasoft/ivy/repository/Repository.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,87.0,src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.181818182,0,0,0,0,0,0,0
1.4.1,88.0,src/java/fr/jayasoft/ivy/ant/IvyResolve.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,89.0,src/java/fr/jayasoft/ivy/util/Message.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.631578947,0,0,0,0,0,0,0
1.4.1,90.0,src/java/fr/jayasoft/ivy/event/resolve/ResolveEvent.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,91.0,src/java/fr/jayasoft/ivy/Configuration.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,92.0,src/java/fr/jayasoft/ivy/IvyContext.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,93.0,src/java/fr/jayasoft/ivy/resolver/VsftpResolver.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,94.0,src/java/fr/jayasoft/ivy/report/XmlReportOutputter.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,95.0,src/java/fr/jayasoft/ivy/status/Status.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,96.0,src/java/fr/jayasoft/ivy/version/LatestVersionMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,97.0,src/java/fr/jayasoft/ivy/ant/IvyPostResolveTask.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.166666667,0,0,0,0,0,0,0
1.4.1,98.0,src/java/fr/jayasoft/ivy/ant/IvyTask.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,99.0,src/java/fr/jayasoft/ivy/conflict/LatestConflictManager.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,100.0,src/java/fr/jayasoft/ivy/matcher/ModuleIdMatcher.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,101.0,src/java/fr/jayasoft/ivy/namespace/MRIDTransformationRule.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,102.0,src/java/fr/jayasoft/ivy/ant/AntBuildTrigger.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,103.0,src/java/fr/jayasoft/ivy/ant/AntCallTrigger.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,104.0,src/java/fr/jayasoft/ivy/ModuleDescriptor.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,105.0,src/java/fr/jayasoft/ivy/parser/ModuleDescriptorParser.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,106.0,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorParser.java,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,107.0,src/java/fr/jayasoft/ivy/matcher/NoMatcher.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,108.0,src/java/fr/jayasoft/ivy/DependencyArtifactDescriptor.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,109.0,src/java/fr/jayasoft/ivy/MDArtifact.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,1.0,0,0,0,0,0,0,0
1.4.1,110.0,src/java/fr/jayasoft/ivy/namespace/NameSpaceHelper.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,111.0,src/java/fr/jayasoft/ivy/event/IvyListener.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,112.0,src/java/fr/jayasoft/ivy/repository/TransferListener.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,113.0,src/java/fr/jayasoft/ivy/repository/url/URLRepository.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4.1,114.0,src/java/fr/jayasoft/ivy/ant/IvyBuildNumber.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.391304348,0,0,0,0,0,0,0
1.4.1,115.0,src/java/fr/jayasoft/ivy/Ivy.java,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.018604651,0,0,0,0,0,0,0
